country,year,rgdpo,rkna,labsh,pl_i,pl_gdpo,pop
Mongolia,1996,5313.404296875,78528.828125,0.35030919313430786,0.45475758866274846,0.3195230960845947,2.3165709999999997
Mongolia,1997,5585.185546875,80651.1484375,0.3095719814300537,0.3058443577636297,0.2706140875816345,2.3356939999999997
Mongolia,1986,4349.447265625,54023.2890625,0.36214759945869446,0.4926232744491121,0.3178054094314575,1.976311
Mongolia,2005,12602.65625,88136.890625,0.36126789450645447,0.30169015631454316,0.2330601066350937,2.5264469999999997
Mongolia,1982,3102.22119140625,40016.5234375,0.36214759945869446,0.36028339669058806,0.30265283584594727,1.7777269999999998
Mongolia,1983,3533.06298828125,43113.1328125,0.36214759945869446,0.38867711211858746,0.29369065165519714,1.8232149999999998
Mongolia,2004,10667.71484375,87077.34375,0.33642318844795227,0.27641024657538077,0.21953168511390686,2.4966209999999998
Mongolia,1990,7148.63818359375,66301.2109375,0.36214759945869446,1.6798740632788165,0.250083327293396,2.184145
Mongolia,2003,9049.576171875,86207.6328125,0.3722473680973053,0.276875308267957,0.208443284034729,2.469045
Mongolia,1980,2849.99951171875,32751.62109375,0.36214759945869446,0.4059207851742267,0.24416959285736084,1.689622
Morocco,1994,129830.6484375,536118.9375,0.5214125514030457,0.3860732155007849,0.27011778950691223,26.74766
Morocco,1984,70668.984375,370432.09375,0.5214125514030457,0.48273031406996864,0.21238932013511658,22.094516
Morocco,1982,60832.26171875,344192.09375,0.5214125514030457,0.6835781594665773,0.2984815537929535,21.070646999999997
Morocco,1985,77645.4453125,385149.4375,0.5214125514030457,0.4578496470015219,0.19360463321208954,22.596133
Morocco,2000,129786.3515625,664999.0625,0.4982641935348511,0.31729209603345054,0.29637956619262695,28.950553
Morocco,2001,132736.328125,690480,0.5198870301246643,0.311844374470259,0.2952618896961212,29.250982999999998
Morocco,1986,85743.1171875,399001.875,0.5214125514030457,0.484353522851867,0.22855772078037262,23.084730999999998
Morocco,2003,135743.390625,750566.75,0.5149836540222168,0.37159659853406596,0.3788399398326874,29.812685
Morocco,1995,128337.609375,553211,0.5214125514030457,0.3592584577405565,0.2969840466976166,27.161889
Morocco,1983,65147.03515625,358512.5625,0.5214125514030457,0.5987262508430489,0.2512548863887787,21.583745999999998
Morocco,1992,114344.09375,506097.375,0.5214125514030457,0.44485871655746306,0.2877163887023926,25.866445
Morocco,1993,115850.8125,522063.65625,0.5214125514030457,0.3895461316708244,0.26740705966949463,26.314339
Morocco,1988,98057.53125,428336.71875,0.5214125514030457,0.5144412926055029,0.26020050048828125,24.02733
Morocco,1996,150269.90625,569738.4375,0.5214125514030457,0.3151899155685872,0.28255295753479004,27.556891999999998
Morocco,2004,135360.25,785590.625,0.5093747973442078,0.4313220347679568,0.43450021743774414,30.093109
Morocco,1997,139577.796875,588904.875,0.5214125514030457,0.2992064655880353,0.2781834602355957,27.934013999999998
Morocco,1998,140694.875,610608.125,0.5214125514030457,0.3205396111347696,0.29605337977409363,28.292299
Morocco,1981,54249.421875,326474,0.5214125514030457,0.7270953630569358,0.3339798152446747,20.564359
Morocco,1991,113665.53125,487876.1875,0.5214125514030457,0.4693753482336431,0.2817073166370392,25.410178
Morocco,1990,101866.1796875,468104.28125,0.5214125514030457,0.534905145776662,0.2926510274410248,24.950128
Morocco,2005,134389.875,823487.625,0.5049618482589722,0.47132995748342194,0.4600600004196167,30.385479
Morocco,2002,130938.046875,718985.4375,0.5179623365402222,0.321717209993294,0.3190745711326599,29.535591
Morocco,1987,88085.1640625,412419.5,0.5214125514030457,0.48852234721262966,0.24561652541160583,23.560824999999998
Morocco,1999,134751.5,638306.1875,0.5083482265472412,0.3283362787911079,0.30650594830513,28.630972999999997
Morocco,1989,100083.4921875,448170.09375,0.5214125514030457,0.48012581244674085,0.26358160376548767,24.489354
Morocco,1980,53324.5,309276.59375,0.5214125514030457,0.8170674380101748,0.4189094007015228,20.071901999999998
Morocco,2007,158427.5,917992.1875,0.4904412031173706,0.5037459407852372,0.49125710129737854,31.011322
Morocco,2006,147812.515625,866232.625,0.5124025344848633,0.4690561745029217,0.4598638713359833,30.691433999999997
Mozambique,1985,5863.6611328125,8103.453125,0.42622947692871094,0.7097702969951293,1.064165711402893,13.102981999999999
Mozambique,2002,15802.2431640625,19152.998046875,0.55037689208984375,0.6001740272929136,0.3197214901447296,19.348715
Mozambique,2007,21509.052734375,25514.470703125,0.42669305205345154,0.5146026586315959,0.43382883071899414,22.359637
Mozambique,1980,7305.7216796875,7601.62744140625,0.42622947692871094,0.9084165020475706,0.9057145118713379,11.936378999999999
Mozambique,1984,7116.5498046875,8122.57470703125,0.42622947692871094,0.8617824749902465,0.9576506614685059,12.968335
Mozambique,1993,7372.4697265625,10756.30859375,0.42622947692871094,1.2671091800115823,0.33814507722854614,14.775877
Mozambique,1981,7597.27099609375,7854.6767578125,0.42622947692871094,0.8870864285993377,0.8395589590072632,12.228508
Mozambique,1982,7454.1845703125,8099.1572265625,0.42622947692871094,0.9244456328357883,0.8841860294342041,12.511864
Mozambique,1983,6507.25,8076.9755859375,0.42622947692871094,0.9426792142291673,0.9238032698631287,12.766859
Mozambique,1986,7213.521484375,8216.05859375,0.42622947692871094,0.6737665616882664,0.8791738748550415,13.155270999999999
Mozambique,2001,12990.404296875,17557.962890625,0.5234334468841553,0.6172288260378911,0.37016600370407104,18.792357
Mozambique,2003,17367.4453125,20470.1328125,0.42669305205345154,0.6097953334593663,0.32324597239494324,19.928496
Mozambique,2004,18094.6875,21590.203125,0.42669305205345154,0.5921532869792551,0.3779619336128235,20.523159
Mozambique,2005,19744.662109375,22842.828125,0.42669305205345154,0.5958390097752387,0.3939145803451538,21.126676
